OTU_id,A.24.1,A.16.1,A.8.1,A.1.1,A.24.2,A.16.2,A.8.2,A.1.2,A.24.3,A.16.3,A.8.3,A.1.3,A.24.4,A.16.4,A.8.4,A.1.4,A.24.5,A.16.5,A.8.5,A.1.5,N.24.1,N.16.1,N.8.1,N.1.1,N.24.2,N.16.2,N.8.2,N.1.2,N.24.3,N.16.3,N.8.3,N.1.3,N.24.4,N.16.4,N.8.4,N.1.4,N.24.5,N.16.5,N.8.5,N.1.5
OTU_12847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU_23592,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_25513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
OTU_22206,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_5187,8,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_179,18,11,4,11,28,40,19,15,29,28,42,9,27,12,16,16,28,37,15,5,29,33,33,9,18,18,13,9,13,22,10,6,21,15,32,11,36,12,3,1
OTU_14053,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_14315,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
OTU_26284,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1565,1,7,0,15,7,8,5,6,7,4,8,9,4,10,6,4,1,8,11,8,9,4,3,4,1,7,7,7,5,14,11,14,7,0,14,14,2,10,7,5
OTU_3978,2,0,0,0,1,3,2,1,5,3,3,0,4,3,6,3,6,4,3,4,5,0,2,1,6,9,0,2,4,0,2,0,4,3,1,1,2,3,0,0
OTU_12632,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
